,paid work,education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,,,,,,,,,,
Australia,211,27,45,132,29,58,512,89,56,19,,,,,,,,,,
Austria,280,27,34,125,21,32,498,79,55,32,,,,,,,,,,
Belgium,194,41,22,121,29,30,513,99,53,21,,,,,,,,,,
Canada,269,36,29,115,24,52,520,65,52,21,,,,,,,,,,
Denmark,200,25,28,128,26,45,489,119,52,22,,,,,,,,,,
Estonia,231,25,28,121,24,40,530,79,54,27,,,,,,,,,,
Finland,200,29,23,109,26,81,508,81,52,37,,,,,,,,,,
France,170,34,22,129,22,17,513,133,107,12,,,,,,,,,,
Germany,224,24,19,109,32,53,498,95,55,26,,,,,,,,,,
Greece,187,40,19,125,16,26,500,128,57,28,,,,,,,,,,
Hungary,199,38,33,150,19,36,506,101,76,13,,,,,,,,,,
Ireland,231,37,61,91,28,72,491,75,42,20,,,,,,,,,,
Italy ,149,28,27,135,28,43,513,127,68,38,,,,,,,,,,
Japan,326,37,0,80,25,98,442,93,85,10,,,,,,,,,,
Korea,288,57,28,76,13,42,471,117,90,27,,,,,,,,,,
Latvia,317,13,15,130,16,39,512,89,40,25,,,,,,,,,,
Lithuania,304,12,19,154,17,42,503,88,54,16,,,,,,,,,,
Luxembourg,247,37,20,108,23,42,518,112,55,33,,,,,,,,,,
Mexico,302,45,38,187,14,46,499,77,58,14,,,,,,,,,,
Netherlands,218,25,22,105,28,46,503,114,65,22,,,,,,,,,,
New Zealand,241,29,30,110,24,59,526,80,42,17,,,,,,,,,,
Norway ,201,40,23,83,20,77,492,79,56,21,,,,,,,,,,
Poland,229,30,38,135,25,39,509,91,57,23,,,,,,,,,,
Portugal,259,36,17,161,15,35,506,112,58,12,,,,,,,,,,
Slovenia,227,38,21,166,18,32,501,86,41,32,,,,,,,,,,
Spain,176,26,35,116,25,54,516,126,51,42,,,,,,,,,,
Sweden,262,31,33,107,23,33,483,83,57,34,,,,,,,,,,
Turkey,217,29,29,124,14,60,515,118,50,9,,,,,,,,,,
UK,235,27,32,104,29,62,508,79,58,19,,,,,,,,,,
USA,251,31,31,100,22,65,528,63,57,18,,,,,,,,,,
China,315,25,23,103,20,33,542,100,52,23,,,,,,,,,,
India,272,23,21,148,12,22,528,84,75,5,,,,,,,,,,
South Africa,189,39,18,130,9,41,553,72,70,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
